k,SHAP상위,무작위,차이
1,0.2118509849753438,0.009129035489388607,0.20272194948595518
2,0.3278521840111555,0.01245098657754703,0.3154011974336085
3,0.3913582331753487,0.025231759661056088,0.3661264735142926
5,0.4711759768522933,0.050642502479266834,0.42053347437302646
8,0.5555330949253516,0.0762616770132135,0.4792714179121381
12,0.6107248254105792,0.1260657184074171,0.48465910700316206
