,0
2년연속영업손실,2.6345888405504225
영업손실,2.188505351920873
ROA,1.5295302052371846
총자산영업이익률,1.2821043329329431
자기자본비율,1.0160631228674863
순이익률,0.6185948610910575
로그자산,0.5773201928517697
총자산회전율,0.5694611510736128
영업이익률,0.4686995125038864
자산증가율,0.4458890456958904
영업현금흐름_부채,0.37945999668272157
부채비율,0.3372870494677763
자본잠식률,0.3254212707293958
매출증가율,0.32403458695885007
영업현금흐름_매출,0.30604816246123334
ΔROA,0.23229302813286884
유동비율,0.20353729345570168
이익의현금전환,0.1264651129339371
매출채권회전율,0.09018563209956411
Δ영업이익률,0.06230833848605648
Δ부채비율,0.058964769184776736
Δ유동비율,0.047708420023772895
이자보상배율,0.026301957482497352
재고자산회전율,0.0
Δ총자산회전율,0.0
Δ영업현금흐름_매출,0.0
완전자본잠식,0.0
자본잠식,0.0
