,t-3,t-2,t-1,정상군
부채비율,1.0766969816174479,1.0484249940346138,1.102459112950633,0.675117462478614
유동비율,1.1447094498007975,1.0283930644350647,0.9030844569542889,1.654363111264281
이자보상배율,-0.3009865452212016,-0.7974218644166468,-1.1394531552514022,1.9361111094785128
영업이익률,-0.0868046201214721,-0.14848769207107498,-0.2209021848164717,0.0365401792311001
ROA,-0.11683366262559361,-0.1482797864160465,-0.1907219027927567,0.0204832411733061
영업현금흐름_매출,-0.06115514688080875,-0.06619405943600945,-0.0783004436742907,0.05241907970257695
