,0
이자보상배율,0.18051464217639923
Δ영업현금흐름_매출,0.15759833651013688
Δ영업이익률,0.14568532316756194
매출증가율,0.14360596083867613
Δ총자산회전율,0.14321608040201006
ΔROA,0.13541847166868826
Δ유동비율,0.12363541847166869
Δ부채비율,0.12038641483278462
자산증가율,0.11700745104834517
재고자산회전율,0.0918385028591232
매출채권회전율,0.043579968809565064
순이익률,0.03725524172587073
영업현금흐름_매출,0.03712528158031537
이익의현금전환,0.027681511003292324
자본잠식,0.027204990469589328
자본잠식률,0.027204990469589328
영업이익률,0.02642522959625715
총자산회전율,0.023392826199965345
영업현금흐름_부채,0.01615837809738347
ROA,0.015551897418125108
유동비율,0.006887887714434241
자기자본비율,0.0037688442211055275
부채비율,0.0034656038814763475
완전자본잠식,0.0033789637844394388
총자산영업이익률,0.001516201698145902
영업손실,0.0009530410674059955
로그자산,0.0007364408248137238
2년연속영업손실,0.0
