,0
영업이익률,11.315590561184047
순이익률,8.799845323877497
ROA,7.1981030872160225
총자산영업이익률,6.724062249999908
영업현금흐름_매출,6.096714385787919
자기자본비율,5.489653493333688
부채비율,3.9954468400203083
영업손실,2.812161467449949
매출증가율,2.704804713887356
Δ영업이익률,2.4379022306196343
영업현금흐름_부채,2.401486389628303
Δ총자산회전율,2.115854688123546
2년연속영업손실,2.0542208683856122
Δ영업현금흐름_매출,2.028013683174412
자산증가율,1.9563995364347788
유동비율,1.8175988145308895
ΔROA,1.8097260141445508
로그자산,1.7081045272896749
완전자본잠식,1.5059880480678751
자본잠식률,1.4000480240166984
자본잠식,1.3880197394960738
총자산회전율,1.3498318907939444
Δ부채비율,1.2815024168120253
Δ유동비율,1.101785148869537
이자보상배율,1.0886093496655116
매출채권회전율,1.03839152177958
이익의현금전환,1.0265318062768936
재고자산회전율,1.012455965402344
