,계수,z_보정전,z_보정후,유의_보정전,유의_보정후
영업이익률,0.15328443506761877,1.8045782606486782,0.742593019717255,False,False
순이익률,-0.04801363175914659,-0.6137875968003405,-0.25257667950024,False,False
ROA,-0.5470365411999139,-8.455985095264436,-3.4796803460988857,True,True
총자산영업이익률,-0.036668786550035276,-0.5648200393735644,-0.23242628362621645,False,False
부채비율,0.2752089356928589,5.860101062430205,2.4114610259319416,True,True
자기자본비율,-0.29164151741373373,-5.1931921557009835,-2.1370246605363143,True,True
유동비율,-0.4525358238446865,-11.225227516880814,-4.619237514131057,True,True
이자보상배율,-0.21424920758316623,-3.6484654597192088,-1.5013618650670708,True,False
총자산회전율,-0.5061752176312958,-16.56307641067343,-6.8157891490881415,True,True
매출채권회전율,-0.01599081696178131,-0.6450344971223568,-0.26543493595434875,False,False
재고자산회전율,0.15910296992606296,7.272319688080224,2.9925960847935227,True,True
영업현금흐름_매출,-0.029495594892515433,-0.5283370200071703,-0.21741333788123385,False,False
영업현금흐름_부채,0.008094375194986667,0.18867710781363112,0.07764157770163872,False,False
이익의현금전환,-0.16258533506891026,-6.680264356026131,-2.7489623414103392,True,True
자본잠식,0.23891610259999282,8.614515462827379,3.5449163887425197,True,True
완전자본잠식,0.06897364213550358,1.2984356145658276,0.5343127782013015,False,False
자본잠식률,0.08930692636583518,2.237380085732832,0.9206931449580695,True,False
영업손실,0.1526921648625303,4.168057479328083,1.715176591353114,True,False
로그자산,-0.7048599765924248,-19.7552617936415,-8.129389470408336,True,True
Δ영업이익률,0.006578077644267079,0.18536319826930878,0.07627788727642903,False,False
ΔROA,0.10950604192788363,3.403615121990061,1.4006047210639514,True,False
Δ부채비율,-0.11697804748734371,-4.374959384009003,-1.8003177645195394,True,False
Δ유동비율,0.09447663443762122,3.7175335354514276,1.5297837252005357,True,False
Δ총자산회전율,0.09673479709058155,2.619683281491181,1.0780128305469334,True,False
Δ영업현금흐름_매출,-0.04885576228995095,-1.5463043313015952,-0.6363120003287419,False,False
매출증가율,-0.04266421439600507,-1.0868955604360329,-0.4472629832365054,False,False
자산증가율,0.15891654479003314,4.960123995549941,2.0411159417954083,True,True
2년연속영업손실,0.19696105219551285,6.648889999822633,2.736051636220715,True,True
