신호,사건군,정상군,차이,신호있을때 사건비율,없을때,배수
계속기업불확실성,0.17481203007518797,0.02789109613338063,0.14692093394180733,0.12880886426592797,0.019631517753331544,6.561329892288568
강조사항있음,0.40037593984962405,0.14162823696346222,0.25874770288616183,0.0625183445846786,0.016211820907658686,3.856343154836116
감사인교체,0.4492481203007519,0.27691557289819085,0.17233254740256104,0.03685996298581123,0.017650602409638554,2.0883118961244587
제출기한연장,0.14473684210526316,0.00833628946434906,0.1364005526409141,0.29056603773584905,0.019939524080809852,14.572365747460086
