,SHAP방향,로지스틱계수,기여도,부호일치
2년연속영업손실,0.7497284763909994,0.16584714268802334,0.009400593308316175,True
ROA,-0.7905166299573964,-0.5452069827292456,0.3114298447772175,True
ROA_결측,0.0,0.7021990692578266,0.0,False
ΔROA,0.16044654547994677,0.1287459025362898,0.027781934127515687,True
ΔROA_결측,0.0,-0.8021844599976304,0.0,False
Δ부채비율,0.2595810490496651,-0.14604929308659775,0.024524685860927008,False
Δ부채비율_결측,0.0,0.6404774955254824,0.0,False
Δ영업이익률,0.4181136512796308,-0.02390341077948739,0.010141110427119427,False
Δ영업이익률_결측,0.0,-0.9222787153712273,0.0,False
Δ영업현금흐름_매출,-0.3430577335135061,-0.05039759170351192,0.05221159625576123,True
Δ영업현금흐름_매출_결측,0.0,0.328436668045625,0.0,False
Δ유동비율,-0.24050878974006532,0.10783778262210965,0.030102893561322223,False
Δ유동비율_결측,0.0,-0.2029275489887024,0.0,False
Δ총자산회전율,0.3176687745362883,0.04295703348465345,0.010016962760174433,True
Δ총자산회전율_결측,0.0,0.9665434778790571,0.0,False
로그자산,-0.8092627696836939,-0.7880286778917781,0.27747510404398174,True
로그자산_결측,0.0,-0.28320000393350286,0.0,False
매출증가율,-0.1080476319864204,0.06257779392670387,0.02185168075519014,False
매출증가율_결측,0.0,-0.07283131679262231,0.0,False
매출채권회전율,-0.2745020197245205,-0.003270903742089934,0.08266522982936872,True
매출채권회전율_결측,0.0,0.11549030473068428,0.0,False
부채비율,0.31998179929480386,0.2772379850251978,0.024766269067426287,True
부채비율_결측,0.0,0.9327326960101112,0.0,False
순이익률,-0.5777925572442266,-0.06512002255354629,0.1669320621209981,True
순이익률_결측,0.0,0.6329032235534241,0.0,False
영업손실,0.0,0.22040840232307235,0.0,False
영업손실_결측,0.0,0.06654555670193009,0.0,False
영업이익률,-0.5693467507243106,0.19272319613756705,0.043289020406586276,False
영업이익률_결측,0.0,-0.7021369950404417,0.0,False
영업현금흐름_매출,-0.3616078626368313,-0.031167583934070677,0.024729925476144186,True
영업현금흐름_매출_결측,0.0,0.001608692597607768,0.0,False
영업현금흐름_부채,-0.3522427528935632,0.03191171672881213,0.033287401308383105,False
영업현금흐름_부채_결측,0.0,0.13115664438279168,0.0,False
완전자본잠식,0.0,0.075886131688362,0.0,False
완전자본잠식_결측,0.0,-1.199845098145429,0.0,False
유동비율,-0.5959024489117992,-0.4136561910521914,0.15259614941099264,True
유동비율_결측,0.0,-0.11553936935876112,0.0,False
이익의현금전환,-0.45476418549070285,-0.16084976710230775,0.028692829235247783,True
이익의현금전환_결측,0.0,-1.1961890638465613,0.0,False
이자보상배율,-0.12858006514612175,-0.23859187223905037,0.06425269213284839,True
이자보상배율_결측,0.0,-0.0895085148790313,0.0,False
자기자본비율,-0.8559076286726699,-0.30940418765679756,0.09865466930077314,True
자기자본비율_결측,0.0,0.31486718014814474,0.0,False
자본잠식,0.0,0.26098923417254166,0.0,False
자본잠식_결측,0.6545197112783162,0.002131034194923608,0.000985219954186985,True
자본잠식률,0.3437253756964218,0.07962848221639952,0.25212919258566113,True
자본잠식률_결측,0.0,0.002131034194923608,0.0,False
자산증가율,-0.2752381393401318,0.12727987474867938,0.042734779735223376,False
자산증가율_결측,-0.4405601387318059,-0.10315139982942872,0.0021024232194482052,True
재고자산회전율,0.6695612543937433,0.15850215321416955,0.028396540630131313,True
재고자산회전율_결측,0.0,-0.09855049665194512,0.0,False
총자산영업이익률,-0.5663006255681693,-0.01495956068464281,0.09882004568280002,True
총자산영업이익률_결측,0.0,0.059933696219132436,0.0,False
총자산회전율,-0.7371644428611109,-0.5109849531921158,0.07405364200748032,True
총자산회전율_결측,0.0,0.02278530382903463,0.0,False
